"SourcePath","IsShortcut","ShortcutTarget","Exists","SizeBytes","Hash","Instrument","IsBand","ProposedPath","DuplicateGroupId","IsInConsolidated","ProposedAction"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0999_alt.mp3","False",,"True","370086","68DCF3444A4ED6383436373DD30CB6442755F88F","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0999_alt.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1000.mp3","False",,"True","354891","9664349DA7E427FA625EF52E86DD99A1B54DB59A","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1000.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1000_alt.mp3","False",,"True","335863","177C1F60CD8E750E0F7C6E321D62232EDF325584","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1000_alt.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1001.mp3","False",,"True","390268","968230B2AA8529BADEFE8F6CF5D339E273E1DA54","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1001.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1001_alt.mp3","False",,"True","404967","553812626E5CF5906CD195428F8E1198FEAB3BE5","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1001_alt.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1006.mp3","False",,"True","6034172","0559FA82E6CE03E4D908E47E028EB20D95F1EB79","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1006.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1007.mp3","False",,"True","316481","C55C59C7544AB3788624B975A64518C18E002EA3","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1007.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1008.mp3","False",,"True","305275","B44883843C605C45196D4BF9B9ACB7B52342E7BC","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1008.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1009.mp3","False",,"True","103734","360381E1BF16B47D362EBD38D6241C7D9FB22C27","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1009.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1010.mp3","False",,"True","248552","E1F146E84AB347E12D749CE8BB5908270B47D286","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1010.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1011.mp3","False",,"True","788241","3BBF94CC3C7593BA7A32390BB8E89D8AC71EB713","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1011.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1013.mp3","False",,"True","884048","CAC04B422A400AC569E4437B6133FE427AA36940","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1013.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1013_alt.mp3","False",,"True","1567856","D8157B18079EC7A289D33EB4752B1AA871B97BCD","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1013_alt.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1014.mp3","False",,"True","355832","00E59C5AEDF787EE0D0E7D51A78EB0BB8F12F827","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1014.mp3",,"True","Keep"
